"freq
References : ['S(1,1)','S(2,2)','S(2,1)']
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Real","S(1,1)
References : []
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","S(2,2)
References : []
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg","S(2,1)
References : []
Dependency : [freq]
Num. Points : [901]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg"
9.000 MHz,0.986 / -32.993 ,0.958 / 92.615 ,0.137 / 118.745 
9.010 MHz,0.986 / -33.052 ,0.958 / 92.449 ,0.137 / 118.630 
9.020 MHz,0.986 / -33.112 ,0.958 / 92.284 ,0.138 / 118.514 
9.030 MHz,0.986 / -33.172 ,0.958 / 92.118 ,0.138 / 118.399 
9.040 MHz,0.986 / -33.233 ,0.958 / 91.951 ,0.139 / 118.283 
9.050 MHz,0.986 / -33.293 ,0.958 / 91.784 ,0.140 / 118.167 
9.060 MHz,0.986 / -33.354 ,0.957 / 91.617 ,0.140 / 118.051 
9.070 MHz,0.986 / -33.414 ,0.957 / 91.450 ,0.141 / 117.934 
9.080 MHz,0.985 / -33.475 ,0.957 / 91.282 ,0.141 / 117.818 
9.090 MHz,0.985 / -33.536 ,0.957 / 91.114 ,0.142 / 117.701 
9.100 MHz,0.985 / -33.598 ,0.957 / 90.946 ,0.142 / 117.584 
9.110 MHz,0.985 / -33.659 ,0.957 / 90.777 ,0.143 / 117.466 
9.120 MHz,0.985 / -33.721 ,0.957 / 90.609 ,0.144 / 117.348 
9.130 MHz,0.985 / -33.782 ,0.957 / 90.439 ,0.144 / 117.230 
9.140 MHz,0.985 / -33.844 ,0.956 / 90.270 ,0.145 / 117.112 
9.150 MHz,0.985 / -33.906 ,0.956 / 90.100 ,0.146 / 116.994 
9.160 MHz,0.984 / -33.969 ,0.956 / 89.930 ,0.146 / 116.875 
9.170 MHz,0.984 / -34.031 ,0.956 / 89.759 ,0.147 / 116.756 
9.180 MHz,0.984 / -34.094 ,0.956 / 89.588 ,0.147 / 116.636 
9.190 MHz,0.984 / -34.156 ,0.956 / 89.417 ,0.148 / 116.517 
9.200 MHz,0.984 / -34.219 ,0.956 / 89.246 ,0.149 / 116.397 
9.210 MHz,0.984 / -34.282 ,0.956 / 89.074 ,0.149 / 116.277 
9.220 MHz,0.984 / -34.346 ,0.955 / 88.902 ,0.150 / 116.157 
9.230 MHz,0.984 / -34.409 ,0.955 / 88.729 ,0.151 / 116.036 
9.240 MHz,0.983 / -34.473 ,0.955 / 88.556 ,0.151 / 115.915 
9.250 MHz,0.983 / -34.537 ,0.955 / 88.383 ,0.152 / 115.794 
9.260 MHz,0.983 / -34.601 ,0.955 / 88.210 ,0.152 / 115.673 
9.270 MHz,0.983 / -34.665 ,0.955 / 88.036 ,0.153 / 115.551 
9.280 MHz,0.983 / -34.729 ,0.955 / 87.862 ,0.154 / 115.429 
9.290 MHz,0.983 / -34.794 ,0.954 / 87.687 ,0.154 / 115.307 
