freq	dB(S(2,2))
9.00000000000000000E6	-3.70953269586006495E-1
9.00999999999999979E6	-3.72009122631538336E-1
9.01999999999999957E6	-3.73072036569515042E-1
9.02999999999999936E6	-3.74142079104743974E-1
9.04000000000000092E6	-3.75219318709993299E-1
9.05000000000000071E6	-3.76303824635857387E-1
9.05999999999999872E6	-3.77395666920804773E-1
9.07000000000000028E6	-3.78494916401273640E-1
9.08000000000000007E6	-3.79601644721995202E-1
9.08999999999999986E6	-3.80715924346560008E-1
9.09999999999999964E6	-3.81837828567836723E-1
9.10999999999999943E6	-3.82967431518831081E-1
9.12000000000000099E6	-3.84104808183662660E-1
9.12999999999999901E6	-3.85250034408489839E-1
9.14000000000000057E6	-3.86403186912855556E-1
9.15000000000000036E6	-3.87564343300994052E-1
9.16000000000000014E6	-3.88733582073554995E-1
9.16999999999999993E6	-3.89910982639105175E-1
9.17999999999999972E6	-3.91096625326220915E-1
9.19000000000000128E6	-3.92290591395473731E-1
9.19999999999999929E6	-3.93492963051656286E-1
9.20999999999999908E6	-3.94703823456335190E-1
9.22000000000000064E6	-3.95923256740336882E-1
9.23000000000000043E6	-3.97151348016611960E-1
9.24000000000000021E6	-3.98388183393215645E-1
9.25000000000000000E6	-3.99633849986437006E-1
9.25999999999999979E6	-4.00888435934361986E-1
9.26999999999999957E6	-4.02152030410102856E-1
9.27999999999999936E6	-4.03424723635922611E-1
9.29000000000000092E6	-4.04706606897035126E-1
9.30000000000000071E6	-4.05997772555813707E-1
9.30999999999999872E6	-4.07298314066218481E-1
9.32000000000000028E6	-4.08608325988351950E-1
9.33000000000000007E6	-4.09927904003390697E-1
9.33999999999999986E6	-4.11257144928521168E-1
9.34999999999999964E6	-4.12596146732371949E-1
9.35999999999999943E6	-4.13945008550318505E-1
9.37000000000000099E6	-4.15303830700424648E-1
9.37999999999999901E6	-4.16672714699274849E-1
9.39000000000000057E6	-4.18051763278359001E-1
9.40000000000000036E6	-4.19441080400269861E-1
9.41000000000000014E6	-4.20840771275797820E-1
9.41999999999999993E6	-4.22250942380527849E-1
9.42999999999999972E6	-4.23671701472280926E-1
9.44000000000000128E6	-4.25103157608566118E-1
9.44999999999999929E6	-4.26545421164320260E-1
9.45999999999999908E6	-4.27998603849893833E-1
9.47000000000000064E6	-4.29462818729458373E-1
9.48000000000000043E6	-4.30938180239515312E-1
9.49000000000000021E6	-4.32424804207738234E-1
9.50000000000000000E6	-4.33922807872233918E-1
9.50999999999999979E6	-4.35432309900861814E-1
9.51999999999999957E6	-4.36953430411116628E-1
9.52999999999999936E6	-4.38486290990082139E-1
9.54000000000000092E6	-4.40031014714868629E-1
9.55000000000000071E6	-4.41587726173284167E-1
9.55999999999999872E6	-4.43156551484773065E-1
9.57000000000000028E6	-4.44737618321857120E-1
9.58000000000000007E6	-4.46331055931771559E-1
9.58999999999999986E6	-4.47936995158292817E-1
9.59999999999999964E6	-4.49555568464391175E-1
9.60999999999999943E6	-4.51186909954693594E-1
9.62000000000000099E6	-4.52831155398649088E-1
9.62999999999999901E6	-4.54488442253767833E-1
9.64000000000000057E6	-4.56158909689662817E-1
9.65000000000000036E6	-4.57842698612010768E-1
9.66000000000000014E6	-4.59539951687166948E-1
9.66999999999999993E6	-4.61250813367059465E-1
9.67999999999999972E6	-4.62975429914505110E-1
9.69000000000000128E6	-4.64713949428970530E-1
9.69999999999999929E6	-4.66466521872634932E-1
9.70999999999999908E6	-4.68233299096990496E-1
9.72000000000000064E6	-4.70014434869805875E-1
9.73000000000000043E6	-4.71810084902470273E-1
9.74000000000000021E6	-4.73620406877849209E-1
9.75000000000000000E6	-4.75445560478630380E-1
9.75999999999999979E6	-4.77285707416039884E-1
9.76999999999999957E6	-4.79141011458845689E-1
9.77999999999999936E6	-4.81011638463354352E-1
9.79000000000000092E6	-4.82897756403274236E-1
9.80000000000000071E6	-4.84799535400585047E-1
9.80999999999999872E6	-4.86717147756367208E-1
9.82000000000000028E6	-4.88650767982715006E-1
